Date,Day,Event,WeekEnd,Holiday,LongVacation,HighSales
1/1/2018,Monday,New Year,1,1,1,0
2/1/2018,Tuesday,Prior Dia de los Re1 Magos/Three Kings Day,0,0,0,1
3/1/2018,Wednesday,Prior Dia de los Re1 Magos/Three Kings Day,0,0,0,1
4/1/2018,Thursday,Prior Dia de los Re1 Magos/Three Kings Day,0,0,0,1
5/1/2018,Friday,Prior Dia de los Re1 Magos/Three Kings Day,0,0,0,1
6/1/2018,Saturday,Dia de los Re1 Magos/Three Kings Day,0,0,0,0
15/1/2018,Monday,Martin Luther King Day,0,1,1,0
2/2/2018,Friday,Prior Super Bowl,0,0,0,1
3/2/2018,Saturday,Prior Super Bowl,1,0,0,1
4/2/2018,Sunday,Super Bowl,1,0,0,1
7/2/2018,Wednesday,Prior Valentine's Day,0,0,0,1
8/2/2018,Thursday,Prior Valentine's Day,0,0,0,1
9/2/2018,Friday,Prior Valentine's Day,1,0,0,1
10/2/2018,Saturday,Prior Valentine's Day,1,0,0,1
11/2/2018,Sunday,Prior Valentine's Day,0,0,0,1
12/2/2018,Monday,Prior Valentine's Day,0,0,0,1
13/2/2018,Tuesday,Prior Valentine's Day,0,0,0,1
14/2/2018,Wednesday,Valentine's Day,0,0,0,0
19/2/2018,Monday,Presidents' Day,0,1,1,0
25/3/2018,Sunday,Prior Easter,1,0,0,1
26/3/2018,Monday,Prior Easter,0,0,0,1
27/3/2018,Tuesday,Prior Easter,0,0,0,1
28/3/2018,Wednesday,Prior Easter,0,0,0,1
29/3/2018,Thursday,Prior Easter,0,0,0,1
30/3/2018,Friday,Prior Easter,0,0,0,1
31/3/2018,Saturday,Prior Easter,1,0,0,1
1/4/2018,Sunday,Easter,1,1,0,0
16/4/2018,Monday,Emancipation Day,0,1,0,0
2/5/2018,Wednesday,Prior Cinco de Mayo,0,0,0,0
3/5/2018,Thursday,Prior Cinco de Mayo,0,0,0,0
4/5/2018,Friday,Prior Cinco de Mayo,0,0,0,0
5/5/2018,Saturday,Cinco de Mayo,0,0,0,1
6/5/2018,Sunday,Prior Mother's day,1,0,0,1
7/5/2018,Monday,Prior Mother's day,0,0,0,0
8/5/2018,Tuesday,Prior Mother's day,0,0,0,0
9/5/2018,Wednesday,Prior Mother's day,0,0,0,0
10/5/2018,Thursday,Prior Mother's day,0,0,0,1
11/5/2018,Friday,Prior Mother's day,0,0,0,0
12/5/2018,Saturday,Prior Mother's day,1,0,0,0
13/5/2018,Sunday,Mother's Day,1,1,0,0
21/5/2018,Monday,Prior Memorial Day,0,0,0,0
22/5/2018,Tuesday,Prior Memorial Day,0,0,0,0
23/5/2018,Wednesday,Prior Memorial Day,0,0,0,0
24/5/2018,Thursday,Prior Memorial Day,0,0,0,0
25/5/2018,Friday,Prior Memorial Day,0,0,0,0
26/5/2018,Saturday,Prior Memorial Day,1,0,0,0
27/5/2018,Sunday,Prior Memorial Day,1,0,0,0
28/5/2018,Monday,Memorial Day,0,1,1,0
3/6/2018,Sunday,Prior Dial del Nino,1,0,0,0
4/6/2018,Monday,Prior Dial del Nino,1,0,0,0
5/6/2018,Tuesday,Prior Dial del Nino,0,0,0,0
6/6/2018,Wednesday,Prior Dial del Nino,0,0,0,0
7/6/2018,Thursday,Prior Dial del Nino,0,0,0,0
8/6/2018,Friday,Prior Dial del Nino,0,0,0,1
9/6/2018,Saturday,Prior Dial del Nino,0,0,0,1
10/6/2018,Sunday,Dia del Nino/Day of the kids,1,0,0,1
11/6/2018,Monday,Prior Father's Day,0,0,0,1
12/6/2018,Tuesday,Prior Father's Day,0,0,0,1
13/6/2018,Wednesday,Prior Father's Day,0,0,0,1
14/6/2018,Thursday,Prior Father's Day,0,0,0,0
15/6/2018,Friday,Prior Father's Day,0,0,0,0
16/6/2018,Saturday,Prior Father's Day,1,0,0,0
17/6/2018,Sunday,Father's Day,1,1,0,0
27/6/2018,Wednesday,Prior Independence Day,0,0,0,0
28/6/2018,Thursday,Prior Independence Day,0,0,0,0
29/6/2018,Friday,Prior Independence Day,0,0,0,0
30/6/2018,Saturday,Prior Independence Day,0,0,0,0
1/7/2018,Sunday,Prior Independence Day,1,0,0,0
