,date,upc_code,forecast,mape
0,2019-01-01,710114,596,19
1,2019-02-01,710114,419,19
2,2019-03-01,710114,523,19
3,2019-04-01,710114,481,19
4,2019-05-01,710114,527,19
5,2019-06-01,710114,464,19
0,2019-06-01,710114,464,19
1,2019-07-01,710114,305,19
2,2019-08-01,710114,389,19
3,2019-09-01,710114,357,19
4,2019-10-01,710114,379,19
5,2019-11-01,710114,581,19
6,2019-12-01,710114,700,19
0,2019-01-01,711814,160,12
1,2019-02-01,711814,105,12
2,2019-03-01,711814,165,12
3,2019-04-01,711814,150,12
4,2019-05-01,711814,154,12
5,2019-06-01,711814,114,12
0,2019-06-01,711814,114,12
1,2019-07-01,711814,119,12
2,2019-08-01,711814,143,12
3,2019-09-01,711814,130,12
4,2019-10-01,711814,130,12
5,2019-11-01,711814,153,12
6,2019-12-01,711814,181,12
0,2019-01-01,712118,45,20
1,2019-02-01,712118,51,20
2,2019-03-01,712118,62,20
3,2019-04-01,712118,46,20
4,2019-05-01,712118,40,20
5,2019-06-01,712118,41,20
0,2019-06-01,712118,41,20
1,2019-07-01,712118,42,20
2,2019-08-01,712118,37,20
3,2019-09-01,712118,39,20
4,2019-10-01,712118,46,20
5,2019-11-01,712118,45,20
6,2019-12-01,712118,49,20
0,2019-01-01,712415,396,7
1,2019-02-01,712415,327,7
2,2019-03-01,712415,362,7
3,2019-04-01,712415,285,7
4,2019-05-01,712415,319,7
5,2019-06-01,712415,283,7
0,2019-06-01,712415,283,7
1,2019-07-01,712415,271,7
2,2019-08-01,712415,290,7
3,2019-09-01,712415,307,7
4,2019-10-01,712415,368,7
5,2019-11-01,712415,415,7
6,2019-12-01,712415,614,7
0,2019-01-01,712811,75,20
1,2019-02-01,712811,56,20
2,2019-03-01,712811,65,20
3,2019-04-01,712811,31,20
4,2019-05-01,712811,43,20
5,2019-06-01,712811,38,20
0,2019-06-01,712811,38,20
1,2019-07-01,712811,37,20
2,2019-08-01,712811,52,20
3,2019-09-01,712811,48,20
4,2019-10-01,712811,70,20
5,2019-11-01,712811,96,20
6,2019-12-01,712811,123,20
0,2019-01-01,712910,139,13
1,2019-02-01,712910,121,13
2,2019-03-01,712910,146,13
3,2019-04-01,712910,108,13
4,2019-05-01,712910,100,13
5,2019-06-01,712910,102,13
0,2019-06-01,712910,102,13
1,2019-07-01,712910,87,13
2,2019-08-01,712910,85,13
3,2019-09-01,712910,92,13
4,2019-10-01,712910,104,13
5,2019-11-01,712910,161,13
6,2019-12-01,712910,252,13
0,2019-01-01,712927,8,113
1,2019-02-01,712927,10,113
2,2019-03-01,712927,18,113
3,2019-04-01,712927,25,113
4,2019-05-01,712927,10,113
5,2019-06-01,712927,1,113
0,2019-06-01,712927,1,113
1,2019-07-01,712927,3,113
2,2019-08-01,712927,5,113
3,2019-09-01,712927,5,113
4,2019-10-01,712927,6,113
5,2019-11-01,712927,10,113
6,2019-12-01,712927,9,113
0,2019-01-01,713115,124,11
1,2019-02-01,713115,121,11
2,2019-03-01,713115,121,11
3,2019-04-01,713115,98,11
4,2019-05-01,713115,98,11
5,2019-06-01,713115,105,11
0,2019-06-01,713115,105,11
1,2019-07-01,713115,94,11
2,2019-08-01,713115,91,11
3,2019-09-01,713115,102,11
4,2019-10-01,713115,118,11
5,2019-11-01,713115,160,11
6,2019-12-01,713115,188,11
0,2019-01-01,252174000007,37,28
1,2019-02-01,252174000007,37,28
2,2019-03-01,252174000007,42,28
3,2019-04-01,252174000007,40,28
4,2019-05-01,252174000007,54,28
5,2019-06-01,252174000007,34,28
0,2019-06-01,252174000007,34,28
1,2019-07-01,252174000007,42,28
2,2019-08-01,252174000007,42,28
3,2019-09-01,252174000007,43,28
4,2019-10-01,252174000007,49,28
5,2019-11-01,252174000007,30,28
6,2019-12-01,252174000007,28,28
0,2019-01-01,252175000006,92,12
1,2019-02-01,252175000006,120,12
2,2019-03-01,252175000006,123,12
3,2019-04-01,252175000006,126,12
4,2019-05-01,252175000006,184,12
5,2019-06-01,252175000006,125,12
0,2019-06-01,252175000006,125,12
1,2019-07-01,252175000006,126,12
2,2019-08-01,252175000006,118,12
3,2019-09-01,252175000006,144,12
4,2019-10-01,252175000006,143,12
5,2019-11-01,252175000006,75,12
6,2019-12-01,252175000006,71,12
0,2019-01-01,252176000005,118,14
1,2019-02-01,252176000005,115,14
2,2019-03-01,252176000005,126,14
3,2019-04-01,252176000005,141,14
4,2019-05-01,252176000005,140,14
5,2019-06-01,252176000005,121,14
0,2019-06-01,252176000005,121,14
1,2019-07-01,252176000005,112,14
2,2019-08-01,252176000005,123,14
3,2019-09-01,252176000005,130,14
4,2019-10-01,252176000005,133,14
5,2019-11-01,252176000005,86,14
6,2019-12-01,252176000005,80,14
0,2019-01-01,252179000002,135,13
1,2019-02-01,252179000002,110,13
2,2019-03-01,252179000002,141,13
3,2019-04-01,252179000002,127,13
4,2019-05-01,252179000002,127,13
5,2019-06-01,252179000002,128,13
0,2019-06-01,252179000002,128,13
1,2019-07-01,252179000002,113,13
2,2019-08-01,252179000002,116,13
3,2019-09-01,252179000002,115,13
4,2019-10-01,252179000002,107,13
5,2019-11-01,252179000002,68,13
6,2019-12-01,252179000002,71,13
0,2019-01-01,257251000000,148,9
1,2019-02-01,257251000000,124,9
2,2019-03-01,257251000000,158,9
3,2019-04-01,257251000000,177,9
4,2019-05-01,257251000000,169,9
5,2019-06-01,257251000000,183,9
0,2019-06-01,257251000000,183,9
1,2019-07-01,257251000000,150,9
2,2019-08-01,257251000000,169,9
3,2019-09-01,257251000000,183,9
4,2019-10-01,257251000000,166,9
5,2019-11-01,257251000000,127,9
6,2019-12-01,257251000000,142,9
0,2019-01-01,257252000009,132,13
1,2019-02-01,257252000009,142,13
2,2019-03-01,257252000009,150,13
3,2019-04-01,257252000009,154,13
4,2019-05-01,257252000009,177,13
5,2019-06-01,257252000009,190,13
0,2019-06-01,257252000009,190,13
1,2019-07-01,257252000009,155,13
2,2019-08-01,257252000009,157,13
3,2019-09-01,257252000009,169,13
4,2019-10-01,257252000009,169,13
5,2019-11-01,257252000009,116,13
6,2019-12-01,257252000009,132,13
0,2019-01-01,257253000008,119,20
1,2019-02-01,257253000008,98,20
2,2019-03-01,257253000008,133,20
3,2019-04-01,257253000008,130,20
4,2019-05-01,257253000008,164,20
5,2019-06-01,257253000008,142,20
0,2019-06-01,257253000008,142,20
1,2019-07-01,257253000008,137,20
2,2019-08-01,257253000008,135,20
3,2019-09-01,257253000008,136,20
4,2019-10-01,257253000008,123,20
5,2019-11-01,257253000008,88,20
6,2019-12-01,257253000008,99,20
0,2019-01-01,257254000007,70,12
1,2019-02-01,257254000007,76,12
2,2019-03-01,257254000007,74,12
3,2019-04-01,257254000007,73,12
4,2019-05-01,257254000007,85,12
5,2019-06-01,257254000007,102,12
0,2019-06-01,257254000007,102,12
1,2019-07-01,257254000007,83,12
2,2019-08-01,257254000007,79,12
3,2019-09-01,257254000007,84,12
4,2019-10-01,257254000007,117,12
5,2019-11-01,257254000007,78,12
6,2019-12-01,257254000007,79,12
0,2019-01-01,257255000006,62,18
1,2019-02-01,257255000006,73,18
2,2019-03-01,257255000006,78,18
3,2019-04-01,257255000006,62,18
4,2019-05-01,257255000006,68,18
5,2019-06-01,257255000006,95,18
0,2019-06-01,257255000006,95,18
1,2019-07-01,257255000006,104,18
2,2019-08-01,257255000006,101,18
3,2019-09-01,257255000006,103,18
4,2019-10-01,257255000006,107,18
5,2019-11-01,257255000006,78,18
6,2019-12-01,257255000006,75,18
0,2019-01-01,257256000005,28,23
1,2019-02-01,257256000005,36,23
2,2019-03-01,257256000005,46,23
3,2019-04-01,257256000005,46,23
4,2019-05-01,257256000005,50,23
5,2019-06-01,257256000005,39,23
0,2019-06-01,257256000005,39,23
1,2019-07-01,257256000005,43,23
2,2019-08-01,257256000005,41,23
3,2019-09-01,257256000005,36,23
4,2019-10-01,257256000005,44,23
5,2019-11-01,257256000005,23,23
6,2019-12-01,257256000005,26,23
0,2019-01-01,257257000004,122,14
1,2019-02-01,257257000004,96,14
2,2019-03-01,257257000004,116,14
3,2019-04-01,257257000004,125,14
4,2019-05-01,257257000004,149,14
5,2019-06-01,257257000004,124,14
0,2019-06-01,257257000004,124,14
1,2019-07-01,257257000004,108,14
2,2019-08-01,257257000004,131,14
3,2019-09-01,257257000004,150,14
4,2019-10-01,257257000004,137,14
5,2019-11-01,257257000004,97,14
6,2019-12-01,257257000004,96,14
0,2019-01-01,257265000003,77,13
1,2019-02-01,257265000003,66,13
2,2019-03-01,257265000003,68,13
3,2019-04-01,257265000003,66,13
4,2019-05-01,257265000003,81,13
5,2019-06-01,257265000003,83,13
0,2019-06-01,257265000003,83,13
1,2019-07-01,257265000003,77,13
2,2019-08-01,257265000003,90,13
3,2019-09-01,257265000003,85,13
4,2019-10-01,257265000003,114,13
5,2019-11-01,257265000003,105,13
6,2019-12-01,257265000003,63,13
0,2019-01-01,257266000002,55,19
1,2019-02-01,257266000002,57,19
2,2019-03-01,257266000002,63,19
3,2019-04-01,257266000002,52,19
4,2019-05-01,257266000002,63,19
5,2019-06-01,257266000002,62,19
0,2019-06-01,257266000002,62,19
1,2019-07-01,257266000002,60,19
2,2019-08-01,257266000002,74,19
3,2019-09-01,257266000002,77,19
4,2019-10-01,257266000002,81,19
5,2019-11-01,257266000002,54,19
6,2019-12-01,257266000002,53,19
0,2019-01-01,257267000001,138,12
1,2019-02-01,257267000001,120,12
2,2019-03-01,257267000001,156,12
3,2019-04-01,257267000001,141,12
4,2019-05-01,257267000001,121,12
5,2019-06-01,257267000001,144,12
0,2019-06-01,257267000001,144,12
1,2019-07-01,257267000001,135,12
2,2019-08-01,257267000001,152,12
3,2019-09-01,257267000001,147,12
4,2019-10-01,257267000001,148,12
5,2019-11-01,257267000001,116,12
6,2019-12-01,257267000001,112,12
0,2019-01-01,257268000000,36,15
1,2019-02-01,257268000000,49,15
2,2019-03-01,257268000000,57,15
3,2019-04-01,257268000000,62,15
4,2019-05-01,257268000000,71,15
5,2019-06-01,257268000000,63,15
0,2019-06-01,257268000000,63,15
1,2019-07-01,257268000000,67,15
2,2019-08-01,257268000000,78,15
3,2019-09-01,257268000000,83,15
4,2019-10-01,257268000000,91,15
5,2019-11-01,257268000000,59,15
6,2019-12-01,257268000000,58,15
0,2019-01-01,257272000003,134,13
1,2019-02-01,257272000003,128,13
2,2019-03-01,257272000003,137,13
3,2019-04-01,257272000003,135,13
4,2019-05-01,257272000003,138,13
5,2019-06-01,257272000003,154,13
0,2019-06-01,257272000003,154,13
1,2019-07-01,257272000003,112,13
2,2019-08-01,257272000003,132,13
3,2019-09-01,257272000003,120,13
4,2019-10-01,257272000003,124,13
5,2019-11-01,257272000003,85,13
6,2019-12-01,257272000003,76,13
0,2019-01-01,271011000000,12,47
1,2019-02-01,271011000000,44,47
2,2019-03-01,271011000000,9,47
3,2019-04-01,271011000000,22,47
4,2019-05-01,271011000000,37,47
5,2019-06-01,271011000000,42,47
0,2019-06-01,271011000000,42,47
1,2019-07-01,271011000000,90,47
2,2019-08-01,271011000000,79,47
3,2019-09-01,271011000000,62,47
4,2019-10-01,271011000000,63,47
5,2019-11-01,271011000000,100,47
6,2019-12-01,271011000000,145,47
0,2019-01-01,271078000005,49,51
1,2019-02-01,271078000005,29,51
2,2019-03-01,271078000005,24,51
3,2019-04-01,271078000005,17,51
4,2019-05-01,271078000005,29,51
5,2019-06-01,271078000005,26,51
0,2019-06-01,271078000005,26,51
1,2019-07-01,271078000005,16,51
2,2019-08-01,271078000005,20,51
3,2019-09-01,271078000005,20,51
4,2019-10-01,271078000005,20,51
5,2019-11-01,271078000005,26,51
6,2019-12-01,271078000005,35,51
0,2019-01-01,271124000003,0,0
1,2019-02-01,271124000003,0,0
2,2019-03-01,271124000003,0,0
3,2019-04-01,271124000003,0,0
4,2019-05-01,271124000003,0,0
5,2019-06-01,271124000003,0,0
0,2019-06-01,271124000003,0,0
1,2019-07-01,271124000003,0,0
2,2019-08-01,271124000003,0,0
3,2019-09-01,271124000003,0,0
4,2019-10-01,271124000003,0,0
5,2019-11-01,271124000003,0,0
6,2019-12-01,271124000003,0,0
0,2019-01-01,271181000008,0,50
1,2019-02-01,271181000008,5,50
2,2019-03-01,271181000008,0,50
3,2019-04-01,271181000008,0,50
4,2019-05-01,271181000008,0,50
5,2019-06-01,271181000008,0,50
0,2019-06-01,271181000008,0,50
1,2019-07-01,271181000008,0,50
2,2019-08-01,271181000008,0,50
3,2019-09-01,271181000008,1,50
4,2019-10-01,271181000008,0,50
5,2019-11-01,271181000008,1,50
6,2019-12-01,271181000008,0,50
0,2019-01-01,271211000008,2,83
1,2019-02-01,271211000008,2,83
2,2019-03-01,271211000008,3,83
3,2019-04-01,271211000008,1,83
4,2019-05-01,271211000008,1,83
5,2019-06-01,271211000008,1,83
0,2019-06-01,271211000008,1,83
1,2019-07-01,271211000008,2,83
2,2019-08-01,271211000008,1,83
3,2019-09-01,271211000008,1,83
4,2019-10-01,271211000008,3,83
5,2019-11-01,271211000008,1,83
6,2019-12-01,271211000008,2,83
0,2019-01-01,271241000009,42,67
1,2019-02-01,271241000009,37,67
2,2019-03-01,271241000009,35,67
3,2019-04-01,271241000009,31,67
4,2019-05-01,271241000009,28,67
5,2019-06-01,271241000009,36,67
0,2019-06-01,271241000009,36,67
1,2019-07-01,271241000009,34,67
2,2019-08-01,271241000009,31,67
3,2019-09-01,271241000009,45,67
4,2019-10-01,271241000009,44,67
5,2019-11-01,271241000009,56,67
6,2019-12-01,271241000009,109,67
0,2019-01-01,271281000007,0,33
1,2019-02-01,271281000007,0,33
2,2019-03-01,271281000007,1,33
3,2019-04-01,271281000007,0,33
4,2019-05-01,271281000007,0,33
5,2019-06-01,271281000007,0,33
0,2019-06-01,271281000007,0,33
1,2019-07-01,271281000007,3,33
2,2019-08-01,271281000007,0,33
3,2019-09-01,271281000007,0,33
4,2019-10-01,271281000007,0,33
5,2019-11-01,271281000007,0,33
6,2019-12-01,271281000007,0,33
0,2019-01-01,271291000004,0,79
1,2019-02-01,271291000004,8,79
2,2019-03-01,271291000004,44,79
3,2019-04-01,271291000004,1,79
4,2019-05-01,271291000004,1,79
5,2019-06-01,271291000004,3,79
0,2019-06-01,271291000004,3,79
1,2019-07-01,271291000004,1,79
2,2019-08-01,271291000004,1,79
3,2019-09-01,271291000004,2,79
4,2019-10-01,271291000004,2,79
5,2019-11-01,271291000004,1,79
6,2019-12-01,271291000004,1,79
0,2019-01-01,271292000003,182,15
1,2019-02-01,271292000003,161,15
2,2019-03-01,271292000003,173,15
3,2019-04-01,271292000003,142,15
4,2019-05-01,271292000003,160,15
5,2019-06-01,271292000003,157,15
0,2019-06-01,271292000003,157,15
1,2019-07-01,271292000003,167,15
2,2019-08-01,271292000003,179,15
3,2019-09-01,271292000003,171,15
4,2019-10-01,271292000003,189,15
5,2019-11-01,271292000003,172,15
6,2019-12-01,271292000003,181,15
0,2019-01-01,271311000007,0,95
1,2019-02-01,271311000007,2,95
2,2019-03-01,271311000007,0,95
3,2019-04-01,271311000007,0,95
4,2019-05-01,271311000007,1,95
5,2019-06-01,271311000007,3,95
0,2019-06-01,271311000007,3,95
1,2019-07-01,271311000007,9,95
2,2019-08-01,271311000007,9,95
3,2019-09-01,271311000007,9,95
4,2019-10-01,271311000007,9,95
5,2019-11-01,271311000007,9,95
6,2019-12-01,271311000007,10,95
