PDT,mintempm,maxtempm,meantempm,mintempi,maxtempi,meantempi,fog,rain,snow,hail,thunder,tornado
2014-01-01,0,15,8,32,59,46,0,0,0,0,0,0
2014-01-02,2,17,9,35,62,48,0,0,0,0,0,0
2014-01-03,3,16,9,37,60,48,0,0,0,0,0,0
2014-01-04,3,20,11,37,68,52,1,0,0,0,0,0
2014-01-05,1,19,10,33,66,50,0,0,0,0,0,0
2014-01-06,3,14,8,37,57,46,0,0,0,0,0,0
2014-01-07,5,17,11,41,62,52,0,0,0,0,0,0
2014-01-08,11,14,12,51,57,54,0,0,0,0,0,0
2014-01-09,3,16,9,37,60,48,0,1,0,0,0,0
2014-01-10,4,17,10,39,62,50,0,0,0,0,0,0
2014-01-11,8,14,11,46,57,52,0,0,0,0,0,0
2014-01-12,5,15,10,41,59,50,0,0,0,0,0,0
2014-01-13,5,20,12,41,68,54,0,0,0,0,0,0
2014-01-14,4,23,13,39,73,55,0,0,0,0,0,0
2014-01-15,3,23,13,37,73,55,0,0,0,0,0,0
2014-01-16,2,23,12,35,73,54,0,0,0,0,0,0
2014-01-17,2,20,11,35,68,52,0,0,0,0,0,0
2014-01-18,1,17,9,33,62,48,0,0,0,0,0,0
2014-01-19,1,18,9,33,64,48,0,0,0,0,0,0
2014-01-20,2,19,10,35,66,50,0,0,0,0,0,0
2014-01-21,2,19,10,35,66,50,0,0,0,0,0,0
2014-01-22,1,19,10,33,66,50,0,0,0,0,0,0
2014-01-23,4,21,12,39,69,54,0,0,0,0,0,0
2014-01-24,4,17,10,39,62,50,0,0,0,0,0,0
2014-01-25,6,22,13,42,71,55,0,0,0,0,0,0
2014-01-26,7,19,13,44,66,55,0,0,0,0,0,0
2014-01-27,9,15,12,48,59,54,0,0,0,0,0,0
2014-01-28,10,19,14,50,66,57,0,0,0,0,0,0
2014-01-29,13,18,16,55,64,61,1,0,0,0,0,0
2014-01-30,12,17,14,53,62,57,0,0,0,0,0,0
2014-01-31,6,17,11,42,62,52,0,0,0,0,0,0
2014-02-01,3,15,9,37,59,48,0,0,0,0,0,0
2014-02-02,7,12,9,44,53,48,0,1,0,0,0,0
2014-02-03,5,13,9,41,55,48,0,0,0,0,0,0
2014-02-04,5,14,9,41,57,48,0,0,0,0,0,0
2014-02-05,6,13,9,42,55,48,0,1,0,0,0,0
2014-02-06,9,13,11,48,55,52,0,1,0,0,0,0
2014-02-07,10,13,11,50,55,52,0,1,0,0,0,0
2014-02-08,13,18,16,55,64,61,0,0,0,0,0,0
2014-02-09,15,18,17,59,64,63,0,1,0,0,0,0
2014-02-10,11,16,13,51,60,55,0,0,0,0,0,0
2014-02-11,10,16,13,50,60,55,0,0,0,0,0,0
2014-02-12,10,16,13,50,60,55,0,0,0,0,0,0
2014-02-13,11,20,16,51,68,61,1,0,0,0,0,0
2014-02-14,11,17,14,51,62,57,1,0,0,0,0,0
2014-02-15,8,17,12,46,62,54,0,0,0,0,0,0
2014-02-16,9,18,13,48,64,55,0,0,0,0,0,0
2014-02-17,6,17,11,42,62,52,0,0,0,0,0,0
2014-02-18,6,20,13,42,68,55,0,0,0,0,0,0
2014-02-19,11,19,16,51,66,61,0,0,0,0,0,0
2014-02-20,8,21,14,46,69,57,0,0,0,0,0,0
2014-02-21,4,22,13,39,71,55,0,0,0,0,0,0
2014-02-22,10,20,15,50,68,59,0,0,0,0,0,0
2014-02-23,10,20,15,50,68,59,0,0,0,0,0,0
2014-02-24,5,24,14,41,75,57,0,0,0,0,0,0
2014-02-25,11,19,14,51,66,57,0,0,0,0,0,0
2014-02-26,13,17,14,55,62,57,0,1,0,0,0,0
2014-02-27,13,19,16,55,66,61,0,0,0,0,0,0
2014-02-28,12,16,14,53,60,57,0,1,0,0,0,0
2014-03-01,13,20,17,55,68,63,0,1,0,0,0,0
2014-03-02,13,18,16,55,64,61,0,1,0,0,0,0
2014-03-03,10,17,13,50,62,55,0,1,0,0,0,0
2014-03-04,13,19,16,55,66,61,0,0,0,0,0,0
2014-03-05,13,22,17,55,71,63,0,0,0,0,0,0
2014-03-06,13,19,16,55,66,61,0,0,0,0,0,0
2014-03-07,7,21,13,44,69,55,0,0,0,0,0,0
2014-03-08,8,24,16,46,75,61,0,0,0,0,0,0
2014-03-09,13,24,18,55,75,64,0,0,0,0,0,0
2014-03-10,14,21,17,57,69,63,0,1,0,0,0,0
2014-03-11,13,22,17,55,71,63,0,0,0,0,0,0
2014-03-12,14,25,19,57,77,66,0,0,0,0,0,0
2014-03-13,8,26,17,46,78,63,0,0,0,0,0,0
2014-03-14,8,21,14,46,69,57,0,0,0,0,0,0
2014-03-15,8,27,17,46,80,63,0,0,0,0,0,0
2014-03-16,8,23,16,46,73,61,0,0,0,0,0,0
2014-03-17,12,22,17,53,71,63,0,0,0,0,0,0
2014-03-18,8,23,16,46,73,61,0,0,0,0,0,0
2014-03-19,5,24,14,41,75,57,0,0,0,0,0,0
2014-03-20,10,22,16,50,71,61,0,0,0,0,0,0
2014-03-21,6,26,16,42,78,61,0,0,0,0,0,0
2014-03-22,8,20,14,46,68,57,0,0,0,0,0,0
2014-03-23,12,19,16,53,66,61,0,0,0,0,0,0
2014-03-24,7,22,14,44,71,57,0,0,0,0,0,0
2014-03-25,7,20,13,44,68,55,0,1,0,0,0,0
2014-03-26,12,17,14,53,62,57,0,1,0,0,0,0
2014-03-27,11,20,16,51,68,61,0,0,0,0,0,0
2014-03-28,11,21,16,51,69,61,0,0,0,0,0,0
2014-03-29,13,18,16,55,64,61,0,1,0,0,0,0
2014-03-30,9,18,13,48,64,55,0,0,0,0,0,0
2014-03-31,8,14,11,46,57,52,0,1,0,0,0,0
2014-04-01,8,15,11,46,59,52,0,1,0,0,0,0
2014-04-02,8,17,12,46,62,54,0,0,0,0,0,0
2014-04-03,7,18,12,44,64,54,0,0,0,0,0,0
2014-04-04,11,16,13,51,60,55,0,1,0,0,0,0
2014-04-05,9,20,14,48,68,57,0,0,0,0,0,0
2014-04-06,7,26,16,44,78,61,0,0,0,0,0,0
2014-04-07,11,28,19,51,82,66,0,0,0,0,0,0
2014-04-08,12,28,20,53,82,68,0,0,0,0,0,0
2014-04-09,11,21,16,51,69,61,0,0,0,0,0,0
2014-04-10,12,24,18,53,75,64,0,0,0,0,0,0
2014-04-11,12,19,16,53,66,61,0,0,0,0,0,0
2014-04-12,12,19,16,53,66,61,0,0,0,0,0,0
2014-04-13,12,23,17,53,73,63,0,0,0,0,0,0
2014-04-14,13,21,17,55,69,63,0,0,0,0,0,0
2014-04-15,13,20,17,55,68,63,0,0,0,0,0,0
2014-04-16,9,25,17,48,77,63,0,0,0,0,0,0
2014-04-17,11,22,16,51,71,61,0,0,0,0,0,0
2014-04-18,13,21,17,55,69,63,0,0,0,0,0,0
2014-04-19,8,22,14,46,71,57,0,0,0,0,0,0
2014-04-20,13,26,19,55,78,66,0,0,0,0,0,0
2014-04-21,13,22,17,55,71,63,0,0,0,0,0,0
2014-04-22,11,18,14,51,64,57,0,0,0,0,0,0
2014-04-23,9,20,14,48,68,57,0,0,0,0,0,0
2014-04-24,11,20,16,51,68,61,0,0,0,0,0,0
2014-04-25,11,15,13,51,59,55,0,1,0,0,0,0
2014-04-26,9,17,13,48,62,55,0,0,0,0,0,0
2014-04-27,13,20,17,55,68,63,0,0,0,0,0,0
2014-04-28,7,24,16,44,75,61,0,0,0,0,0,0
2014-04-29,16,32,23,60,89,73,0,0,0,0,0,0
2014-04-30,21,32,26,69,89,79,0,0,0,0,0,0
2014-05-01,14,31,22,57,87,72,0,0,0,0,0,0
2014-05-02,12,26,19,53,78,66,0,0,0,0,0,0
2014-05-03,13,22,17,55,71,63,0,0,0,0,0,0
2014-05-04,12,22,17,53,71,63,0,0,0,0,0,0
2014-05-05,13,19,16,55,66,61,0,0,0,0,0,0
2014-05-06,13,23,18,55,73,64,0,0,0,0,0,0
2014-05-07,10,20,15,50,68,59,0,0,0,0,0,0
2014-05-08,13,20,17,55,68,63,0,0,0,0,0,0
2014-05-09,14,21,18,57,69,64,0,0,0,0,0,0
2014-05-10,12,21,16,53,69,61,0,0,0,0,0,0
2014-05-11,11,26,18,51,78,64,0,0,0,0,0,0
2014-05-12,8,32,20,46,89,68,0,0,0,0,0,0
2014-05-13,13,35,24,55,95,75,0,0,0,0,0,0
2014-05-14,14,33,23,57,91,73,0,0,0,0,0,0
2014-05-15,14,30,22,57,86,72,0,0,0,0,0,0
2014-05-16,12,25,18,53,77,64,0,0,0,0,0,0
2014-05-17,14,23,18,57,73,64,0,0,0,0,0,0
2014-05-18,16,22,19,60,71,66,0,0,0,0,0,0
2014-05-19,15,21,18,59,69,64,0,0,0,0,0,0
2014-05-20,15,23,19,59,73,66,0,0,0,0,0,0
2014-05-21,13,24,18,55,75,64,0,0,0,0,0,0
2014-05-22,14,26,20,57,78,68,0,0,0,0,0,0
2014-05-23,14,21,17,57,69,63,0,0,0,0,0,0
2014-05-24,14,22,18,57,71,64,0,0,0,0,0,0
2014-05-25,13,27,20,55,80,68,0,0,0,0,0,0
2014-05-26,13,29,21,55,84,70,0,0,0,0,0,0
2014-05-27,13,23,18,55,73,64,0,0,0,0,0,0
2014-05-28,15,26,20,59,78,68,0,0,0,0,0,0
2014-05-29,12,29,20,53,84,68,0,0,0,0,0,0
2014-05-30,10,20,15,50,68,59,0,0,0,0,0,0
2014-05-31,12,23,17,53,73,63,0,0,0,0,0,0
2014-06-01,15,24,19,59,75,66,0,0,0,0,0,0
2014-06-02,13,22,17,55,71,63,0,0,0,0,0,0
2014-06-03,13,22,17,55,71,63,0,0,0,0,0,0
2014-06-04,14,24,19,57,75,66,0,0,0,0,0,0
2014-06-05,14,23,18,57,73,64,0,0,0,0,0,0
2014-06-06,15,23,19,59,73,66,0,0,0,0,0,0
2014-06-07,15,24,19,59,75,66,0,0,0,0,0,0
2014-06-08,15,30,22,59,86,72,0,0,0,0,0,0
2014-06-09,17,27,22,62,80,72,0,0,0,0,0,0
2014-06-10,16,23,19,60,73,66,0,0,0,0,0,0
2014-06-11,16,25,20,60,77,68,0,0,0,0,0,0
2014-06-12,15,33,24,59,91,75,0,0,0,0,0,0
2014-06-13,13,26,19,55,78,66,0,0,0,0,0,0
2014-06-14,14,28,21,57,82,70,0,0,0,0,0,0
2014-06-15,14,24,19,57,75,66,0,0,0,0,0,0
2014-06-16,13,21,17,55,69,63,0,0,0,0,0,0
2014-06-17,12,27,19,53,80,66,0,0,0,0,0,0
2014-06-18,13,32,22,55,89,72,0,0,0,0,0,0
2014-06-19,14,23,18,57,73,64,0,0,0,0,0,0
2014-06-20,14,28,21,57,82,70,0,0,0,0,0,0
2014-06-21,14,21,17,57,69,63,0,0,0,0,0,0
2014-06-22,15,22,18,59,71,64,0,0,0,0,0,0
2014-06-23,13,25,19,55,77,66,0,0,0,0,0,0
2014-06-24,17,25,21,62,77,70,0,0,0,0,0,0
2014-06-25,15,23,19,59,73,66,0,0,0,0,0,0
2014-06-26,17,24,20,62,75,68,0,0,0,0,0,0
2014-06-27,18,25,21,64,77,70,0,0,0,0,0,0
2014-06-28,15,26,20,59,78,68,0,0,0,0,0,0
2014-06-29,16,28,22,60,82,72,0,0,0,0,0,0
2014-06-30,17,30,23,62,86,73,0,0,0,0,0,0
2014-07-01,17,25,21,62,77,70,0,0,0,0,0,0
2014-07-02,17,25,21,62,77,70,0,0,0,0,0,0
2014-07-03,14,24,19,57,75,66,0,0,0,0,0,0
2014-07-04,15,23,19,59,73,66,0,0,0,0,0,0
2014-07-05,15,25,20,59,77,68,0,0,0,0,0,0
2014-07-06,15,25,20,59,77,68,0,0,0,0,0,0
2014-07-07,15,25,20,59,77,68,0,0,0,0,0,0
